customer_id,tenure,contract_type,monthly_charges,churn
1001,7,Month-to-Month,426,No
1002,8,Month-to-Month,258,No
1003,7,Month-to-Month,245,Yes
1004,11,Month-to-Month,253,No
1005,47,Two Year,331,No
1006,27,One Year,459,No
1007,35,Two Year,678,Yes
1008,2,Month-to-Month,261,Yes
1009,44,Two Year,666,No
1010,22,Month-to-Month,390,Yes
1011,17,Month-to-Month,682,Yes
1012,10,Month-to-Month,639,Yes
1013,35,One Year,274,No
1014,17,One Year,779,No
1015,14,Two Year,684,No
1016,12,One Year,142,Yes
1017,7,Month-to-Month,554,No
1018,14,Month-to-Month,299,No
1019,37,Two Year,843,Yes
1020,20,Month-to-Month,251,Yes
1021,33,One Year,347,No
1022,14,Month-to-Month,179,Yes
1023,8,Month-to-Month,538,Yes
1024,35,One Year,208,Yes
1025,4,Month-to-Month,385,Yes
1026,37,Two Year,718,No
1027,42,Two Year,459,No
1028,21,Month-to-Month,597,Yes
1029,26,One Year,489,Yes
1030,56,Two Year,104,No
1031,18,One Year,302,No
1032,7,Month-to-Month,757,Yes
1033,6,One Year,683,No
1034,11,Month-to-Month,265,Yes
1035,8,One Year,600,No
1036,16,Two Year,679,No
1037,7,Month-to-Month,421,Yes
1038,12,Month-to-Month,129,No
1039,23,Month-to-Month,617,Yes
1040,24,Month-to-Month,440,No
1041,12,Month-to-Month,796,Yes
1042,20,One Year,180,No
1043,16,Two Year,508,No
1044,7,Month-to-Month,468,Yes
1045,20,One Year,153,No
1046,10,Month-to-Month,290,Yes
1047,7,Month-to-Month,441,Yes
1048,43,Two Year,413,No
1049,11,Month-to-Month,113,Yes
1050,18,One Year,279,Yes
1051,32,One Year,377,Yes
1052,39,Two Year,771,No
1053,17,Two Year,360,No
1054,12,Month-to-Month,788,Yes
1055,35,One Year,607,Yes
1056,23,Month-to-Month,408,No
1057,30,One Year,452,Yes
1058,20,Month-to-Month,284,Yes
1059,50,Two Year,383,No
1060,48,Two Year,424,No
1061,15,One Year,618,No
1062,29,One Year,394,Yes
1063,35,One Year,697,Yes
1064,17,One Year,697,Yes
1065,13,Two Year,648,Yes
1066,48,Two Year,342,No
1067,7,One Year,232,No
1068,28,One Year,401,No
1069,24,One Year,331,No
1070,55,Two Year,632,No
1071,28,One Year,474,Yes
1072,17,Month-to-Month,341,Yes
1073,24,Month-to-Month,285,Yes
1074,21,One Year,289,Yes
1075,14,One Year,242,No
1076,27,Two Year,455,No
1077,4,Month-to-Month,641,Yes
1078,14,Two Year,806,Yes
1079,31,Two Year,765,No
1080,50,Two Year,188,Yes
1081,18,Month-to-Month,241,Yes
1082,8,One Year,455,No
1083,16,Month-to-Month,221,Yes
1084,13,Two Year,442,No
1085,16,Two Year,94,No
1086,52,Two Year,294,Yes
1087,59,Two Year,387,No
1088,31,Two Year,354,No
1089,44,Two Year,848,No
1090,13,One Year,236,No
1091,3,Month-to-Month,359,Yes
1092,18,Month-to-Month,296,Yes
1093,46,Two Year,324,No
1094,44,Two Year,567,No
1095,21,One Year,328,No
1096,1,Month-to-Month,723,No
1097,27,One Year,545,No
1098,19,One Year,244,Yes
1099,6,Month-to-Month,564,Yes
1100,22,Month-to-Month,339,No
1101,38,Two Year,295,No
1102,1,Month-to-Month,443,Yes
1103,44,Two Year,662,No
1104,16,Month-to-Month,199,Yes
1105,8,One Year,389,Yes
1106,17,Month-to-Month,266,No
1107,26,One Year,765,No
1108,33,One Year,318,No
1109,24,Month-to-Month,324,No
1110,46,Two Year,352,No
1111,32,Two Year,376,No
1112,18,Month-to-Month,772,Yes
1113,3,Month-to-Month,246,Yes
1114,43,Two Year,433,No
1115,17,Month-to-Month,289,Yes
1116,11,Month-to-Month,433,No
1117,40,Two Year,785,No
1118,36,Two Year,569,Yes
1119,18,Two Year,104,No
1120,12,Two Year,804,Yes
1121,25,Two Year,762,Yes
1122,33,One Year,422,Yes
1123,36,Two Year,848,Yes
1124,27,One Year,520,No
1125,22,Month-to-Month,523,Yes
1126,15,Month-to-Month,303,No
1127,44,Two Year,365,No
1128,33,One Year,161,No
1129,12,One Year,350,Yes
1130,56,Two Year,194,Yes
1131,28,One Year,205,No
1132,53,Two Year,331,Yes
1133,24,One Year,198,No
1134,28,One Year,611,No
1135,35,One Year,454,No
1136,14,One Year,328,No
1137,6,One Year,370,Yes
1138,27,One Year,185,No
1139,51,Two Year,502,No
1140,12,Two Year,489,No
1141,27,One Year,471,Yes
1142,16,Month-to-Month,669,Yes
1143,30,One Year,402,Yes
1144,15,Month-to-Month,286,Yes
1145,16,Month-to-Month,528,No
1146,4,Month-to-Month,538,Yes
1147,34,Two Year,308,No
1148,22,Month-to-Month,282,Yes
1149,42,Two Year,686,No
1150,12,Two Year,68,Yes
1151,35,Two Year,486,No
1152,22,One Year,292,Yes
1153,24,Month-to-Month,561,Yes
1154,1,Month-to-Month,676,Yes
1155,23,Two Year,187,No
1156,54,Two Year,733,No
1157,24,Two Year,255,No
1158,14,Month-to-Month,436,Yes
1159,28,One Year,246,No
1160,34,One Year,681,Yes
1161,14,One Year,402,Yes
1162,21,Month-to-Month,716,Yes
1163,40,Two Year,286,No
1164,34,One Year,435,Yes
1165,5,Month-to-Month,704,Yes
1166,59,Two Year,180,No
1167,24,Month-to-Month,375,Yes
1168,12,Month-to-Month,244,Yes
1169,28,One Year,464,No
1170,52,Two Year,351,No
1171,31,Two Year,631,No
1172,19,Month-to-Month,425,Yes
1173,17,One Year,428,No
1174,17,One Year,441,Yes
