customer_id,data_used_gb,calls_made,revenue_inr
1001,2.93,25,469
1002,5.12,90,376
1003,13.24,44,259
1004,3.45,88,303
1005,4.57,58,407
1006,30.74,42,560
1007,53.92,47,648
1008,21.08,27,374
1009,55.47,138,688
1010,9.88,39,527
1011,21.97,51,826
1012,38.76,191,667
1013,23.02,32,327
1014,71.72,179,785
1015,7.06,143,794
1016,16.25,43,275
1017,17.42,26,699
1018,2.3,74,441
1019,76.0,38,949
1020,16.0,27,363
1021,10.88,20,345
1022,3.94,73,197
1023,44.83,195,603
1024,17.83,74,188
1025,20.96,59,403
1026,22.14,107,854
1027,44.89,64,412
1028,12.45,193,653
1029,34.1,70,488
1030,10.08,24,100
1031,14.75,141,376
1032,32.78,143,807
1033,40.55,153,828
1034,29.85,82,327
1035,11.62,78,724
1036,16.37,164,737
1037,77.81,41,438
1038,29.42,58,219
1039,45.63,105,619
1040,25.18,60,520
1041,27.67,179,854
1042,6.64,94,303
1043,55.8,40,501
1044,25.09,77,546
1045,17.83,33,227
1046,13.88,20,418
1047,63.68,118,472
1048,19.08,33,381
1049,6.84,94,100
1050,2.14,26,329
1051,16.75,28,390
1052,49.48,117,731
1053,11.25,56,449
1054,7.85,158,742
1055,64.57,39,725
1056,26.44,21,427
1057,5.32,28,555
1058,29.45,61,329
1059,15.27,64,434
1060,44.18,170,516
1061,50.43,198,748
1062,29.44,91,435
1063,67.06,23,781
1064,76.7,67,719
1065,9.46,192,678
1066,53.01,115,363
1067,2.81,47,248
1068,14.0,22,525
1069,51.99,50,394
1070,40.76,112,752
1071,70.4,157,465
1072,19.34,30,484
1073,10.67,44,418
1074,16.33,56,401
1075,29.94,17,217
1076,25.03,80,434
1077,6.07,84,626
1078,67.56,20,898
1079,15.71,155,847
1080,24.84,82,264
1081,26.65,44,384
1082,4.03,32,413
1083,21.97,87,298
1084,20.93,84,490
1085,16.92,23,231
1086,17.73,43,288
1087,28.7,25,402
1088,10.76,138,465
1089,64.59,163,899
1090,2.46,75,198
1091,55.01,178,342
1092,9.15,17,365
1093,12.75,36,391
1094,29.11,72,555
1095,7.55,39,458
1096,7.53,166,725
1097,36.21,44,525
1098,26.77,32,225
1099,38.7,29,713
1100,17.09,29,448
1101,16.26,59,400
1102,7.8,62,544
1103,26.75,49,802
1104,4.48,68,156
1105,25.36,138,497
1106,9.24,91,313
1107,59.13,124,763
1108,10.21,35,285
1109,9.01,47,360
1110,17.91,17,470
1111,30.53,191,446
1112,11.2,175,860
1113,24.97,28,332
1114,68.2,191,578
1115,23.88,24,289
1116,37.54,196,580
1117,33.3,198,899
1118,13.7,176,679
1119,27.97,98,173
1120,55.69,194,776
1121,24.07,32,812
1122,29.02,20,388
1123,55.71,44,891
1124,25.17,103,609
1125,79.96,164,573
1126,42.39,122,280
1127,26.11,56,460
1128,19.4,80,123
1129,36.24,160,399
1130,25.66,25,280
1131,20.06,84,208
1132,71.01,119,389
1133,22.87,43,284
1134,15.25,26,596
1135,22.42,37,473
1136,53.36,168,305
1137,58.49,84,419
1138,3.47,22,191
1139,66.75,73,589
1140,45.79,66,491
1141,56.6,32,585
1142,73.33,21,699
1143,4.61,19,514
1144,15.29,26,247
1145,49.63,43,506
1146,39.81,141,675
1147,12.53,74,341
1148,39.12,35,406
1149,21.49,111,821
1150,25.86,62,187
1151,62.76,181,600
1152,8.7,34,274
1153,60.43,26,567
1154,32.88,35,668
1155,20.23,86,271
1156,70.94,70,842
1157,72.39,64,263
1158,27.72,176,542
1159,23.5,175,274
1160,9.48,191,634
1161,76.83,156,470
1162,63.89,115,843
1163,19.69,41,263
1164,23.53,26,443
1165,59.42,125,838
1166,19.05,19,174
1167,25.72,123,392
1168,12.26,37,258
1169,30.89,71,515
1170,9.42,69,357
1171,71.76,193,606
1172,16.05,24,458
1173,19.3,84,431
1174,36.17,185,545
1175,62.08,80,655
1176,20.71,78,392
1177,8.97,95,426
1178,14.33,83,240
1179,13.55,12,154
1180,13.92,53,450
1181,25.47,84,312
1182,44.54,114,850
1183,54.43,188,750
1184,19.46,57,329
1185,58.38,109,594
1186,17.52,20,503
1187,13.67,28,100
1188,7.2,91,396
1189,1.41,38,272
1190,31.63,36,637
1191,12.46,89,280
1192,77.53,27,511
1193,69.07,115,761
1194,53.05,58,492
1195,5.72,97,429
1196,25.8,53,266
1197,67.66,55,659
1198,33.27,175,518
1199,65.36,189,435
1200,68.6,195,417
1201,24.04,174,568
1202,12.68,22,266
1203,13.89,28,423
1204,34.84,174,815
1205,79.49,179,669
1206,23.07,76,385
1207,22.87,44,369
1208,76.32,110,401
1209,31.78,37,496
1210,23.83,110,365
1211,54.25,133,700
1212,19.37,128,926
1213,3.95,19,359
1214,21.56,124,690
1215,7.7,164,470
1216,70.01,188,317
1217,48.62,158,310
1218,17.82,85,368
1219,67.97,128,844
1220,37.26,90,479
1221,71.94,168,842
1222,66.74,103,700
1223,16.79,17,174
